---- Félix Cabrera, ECFM-USAC, 2019 ---- 
Solución numérica para el péndulo elástico: 
Pendulo de longitud 0.29 [m], constante 10.23 [N/m] y masa 0.20 [kg]. 
 z[m], vz[m/s], theta[rad], w[rad/s], t[s], x[m], y[m], 
0.200000, 0.000000, -0.466200, 0.000000, 0.000000, -0.221601, -0.440389, 
0.199988, -0.005986, -0.466125, 0.036634, 0.004100, -0.221562, -0.440394, 
0.199951, -0.011958, -0.465899, 0.073266, 0.008200, -0.221447, -0.440411, 
0.199890, -0.017904, -0.465524, 0.109895, 0.012300, -0.221254, -0.440440, 
0.199804, -0.023811, -0.464998, 0.146517, 0.016400, -0.220984, -0.440479, 
0.199695, -0.029664, -0.464322, 0.183133, 0.020500, -0.220637, -0.440531, 
0.199561, -0.035451, -0.463496, 0.219738, 0.024600, -0.220213, -0.440593, 
0.199404, -0.041160, -0.462521, 0.256331, 0.028700, -0.219713, -0.440667, 
0.199224, -0.046776, -0.461395, 0.292909, 0.032800, -0.219137, -0.440753, 
0.199021, -0.052287, -0.460119, 0.329469, 0.036900, -0.218484, -0.440850, 
0.198795, -0.057681, -0.458693, 0.366008, 0.041000, -0.217755, -0.440959, 
0.198548, -0.062945, -0.457117, 0.402522, 0.045100, -0.216951, -0.441080, 
0.198279, -0.068067, -0.455392, 0.439007, 0.049200, -0.216072, -0.441212, 
0.197990, -0.073034, -0.453518, 0.475460, 0.053300, -0.215118, -0.441356, 
0.197680, -0.077835, -0.451494, 0.511874, 0.057400, -0.214089, -0.441513, 
0.197352, -0.082457, -0.449320, 0.548245, 0.061500, -0.212986, -0.441681, 
0.197005, -0.086890, -0.446998, 0.584567, 0.065600, -0.211810, -0.441861, 
0.196640, -0.091122, -0.444527, 0.620833, 0.069700, -0.210560, -0.442054, 
0.196258, -0.095142, -0.441907, 0.657036, 0.073800, -0.209238, -0.442258, 
0.195860, -0.098939, -0.439139, 0.693169, 0.077900, -0.207844, -0.442476, 
0.195447, -0.102504, -0.436223, 0.729223, 0.082000, -0.206378, -0.442705, 
0.195019, -0.105825, -0.433160, 0.765189, 0.086100, -0.204842, -0.442948, 
0.194579, -0.108893, -0.429949, 0.801058, 0.090200, -0.203235, -0.443203, 
0.194127, -0.111700, -0.426591, 0.836818, 0.094300, -0.201559, -0.443471, 
0.193664, -0.114236, -0.423087, 0.872459, 0.098400, -0.199813, -0.443752, 
0.193191, -0.116492, -0.419437, 0.907969, 0.102500, -0.197999, -0.444047, 
0.192709, -0.118461, -0.415642, 0.943334, 0.106600, -0.196118, -0.444354, 
0.192220, -0.120134, -0.411702, 0.978542, 0.110700, -0.194170, -0.444675, 
0.191724, -0.121505, -0.407618, 1.013577, 0.114800, -0.192156, -0.445010, 
0.191224, -0.122567, -0.403391, 1.048425, 0.118900, -0.190077, -0.445358, 
0.190719, -0.123314, -0.399022, 1.083068, 0.123000, -0.187933, -0.445719, 
0.190213, -0.123739, -0.394510, 1.117491, 0.127100, -0.185726, -0.446095, 
0.189705, -0.123838, -0.389858, 1.151675, 0.131200, -0.183456, -0.446484, 
0.189198, -0.123607, -0.385067, 1.185602, 0.135300, -0.181124, -0.446888, 
0.188692, -0.123040, -0.380137, 1.219251, 0.139400, -0.178731, -0.447306, 
0.188189, -0.122135, -0.375069, 1.252604, 0.143500, -0.176278, -0.447738, 
0.187691, -0.120889, -0.369866, 1.285638, 0.147600, -0.173765, -0.448185, 
